frame_number,instruction_text,quality_score,image_path,robot_x,robot_y,robot_z,robot_qx,robot_qy,robot_qz,robot_qw,roll_deg,pitch_deg,yaw_deg
0,,1,frames/frame_000000.png,-0.405510,0.087404,0.245934,0.902158,-0.430808,0.010881,0.019948,178.473688,-2.110168,-51.023662
1,,1,frames/frame_000001.png,-0.405518,0.087431,0.245873,0.902133,-0.430861,0.010884,0.019907,178.478274,-2.108457,-51.030469
2,,1,frames/frame_000002.png,-0.405522,0.087390,0.245910,0.902137,-0.430851,0.010857,0.019970,178.470345,-2.108791,-51.029115
3,,1,frames/frame_000003.png,-0.405550,0.087360,0.245910,0.902146,-0.430831,0.010834,0.019976,178.468553,-2.106664,-51.026615
4,,1,frames/frame_000004.png,-0.405530,0.087378,0.245877,0.902146,-0.430833,0.010871,0.019930,178.475128,-2.108310,-51.026938
5,,1,frames/frame_000005.png,-0.405542,0.087364,0.245907,0.902142,-0.430840,0.010854,0.019964,178.470759,-2.108176,-51.027729
6,,1,frames/frame_000006.png,-0.405537,0.087356,0.245899,0.902138,-0.430848,0.010852,0.019963,178.470875,-2.107961,-51.028824
7,,1,frames/frame_000007.png,-0.405536,0.087345,0.245890,0.902147,-0.430830,0.010867,0.019947,178.473174,-2.108707,-51.026510
8,,1,frames/frame_000008.png,-0.405528,0.087379,0.245892,0.902133,-0.430859,0.010878,0.019956,178.472900,-2.110247,-51.030139
9,,1,frames/frame_000009.png,-0.405600,0.087336,0.245908,0.900723,-0.433814,0.010787,0.019695,178.502201,-2.092881,-51.406232
10,,1,frames/frame_000010.png,-0.405681,0.087221,0.246004,0.894304,-0.446926,0.011225,0.018750,178.652290,-2.111078,-53.082138
11,,1,frames/frame_000011.png,-0.405657,0.087152,0.245929,0.879820,-0.474872,0.012916,0.015704,179.118871,-2.157238,-56.698231
12,,1,frames/frame_000012.png,-0.405656,0.087118,0.245871,0.876107,-0.481703,0.013388,0.014816,179.250975,-2.162409,-57.591806
13,,1,frames/frame_000013.png,-0.406531,0.086527,0.246745,0.868906,-0.494656,0.013233,0.011973,179.557627,-1.996685,-59.296768
14,,1,frames/frame_000014.png,-0.406534,0.086485,0.246729,0.864839,-0.501740,0.013688,0.011092,179.687531,-1.994664,-60.235197
15,,1,frames/frame_000015.png,-0.405649,0.087058,0.245878,0.856276,-0.516178,0.015541,0.010495,179.889377,-2.146216,-62.162592
16,,1,frames/frame_000016.png,-0.405663,0.086985,0.245900,0.847875,-0.529865,0.016444,0.008968,-179.872779,-2.142696,-64.007587
17,,1,frames/frame_000017.png,-0.405643,0.087070,0.245898,0.839138,-0.543590,0.017367,0.007517,-179.640758,-2.138645,-65.876690
18,,1,frames/frame_000018.png,-0.405651,0.087225,0.245940,0.829987,-0.557449,0.018330,0.006025,-179.401754,-2.128719,-67.784623
19,,1,frames/frame_000019.png,-0.405641,0.087302,0.245924,0.820769,-0.570913,0.019372,0.004544,-179.159425,-2.119756,-69.659165
20,,1,frames/frame_000020.png,-0.405689,0.087170,0.245921,0.811398,-0.584131,0.020375,0.003033,-178.917431,-2.097955,-71.520585
21,,1,frames/frame_000021.png,-0.406584,0.086519,0.246740,0.802408,-0.596430,0.020299,0.000552,-178.662522,-1.904609,-73.269119
22,,1,frames/frame_000022.png,-0.405661,0.087276,0.245934,0.781468,-0.623504,0.023410,-0.001551,-178.187071,-1.985917,-77.201461
23,,1,frames/frame_000023.png,-0.405663,0.087307,0.245917,0.776615,-0.629518,0.023893,-0.002310,-178.069325,-1.960103,-78.088960
24,,1,frames/frame_000024.png,-0.405675,0.087256,0.245967,0.772303,-0.634783,0.024311,-0.002912,-177.972340,-1.940096,-78.870286
25,,1,frames/frame_000025.png,-0.405732,0.087258,0.245987,0.764690,-0.643900,0.025011,-0.003974,-177.804594,-1.898771,-80.233832
26,,1,frames/frame_000026.png,-0.406694,0.086628,0.246871,0.758270,-0.651438,0.024894,-0.006037,-177.615342,-1.712645,-81.368099
27,,1,frames/frame_000027.png,-0.406726,0.086566,0.246888,0.753797,-0.656565,0.025805,-0.006793,-177.469708,-1.718182,-82.150375
28,,1,frames/frame_000028.png,-0.405901,0.086992,0.246036,0.741722,-0.670019,0.029341,-0.007920,-177.071191,-1.886070,-84.233103
29,,1,frames/frame_000029.png,-0.405947,0.086852,0.245983,0.730610,-0.682002,0.031268,-0.010179,-176.700621,-1.822650,-86.110971
30,,1,frames/frame_000030.png,-0.405997,0.086783,0.246001,0.719095,-0.694031,0.032716,-0.012379,-176.374014,-1.711610,-88.021881
31,,1,frames/frame_000031.png,-0.406019,0.086755,0.245968,0.706942,-0.706312,0.033858,-0.014487,-176.081461,-1.570477,-90.002580
32,,1,frames/frame_000032.png,-0.406026,0.086691,0.245987,-0.682525,0.729761,-0.035843,0.018024,-175.587450,-1.296169,-93.881184
33,,1,frames/frame_000033.png,-0.406084,0.086745,0.246093,-0.669571,0.741586,-0.036659,0.019516,-175.381440,-1.154388,-95.889393
34,,1,frames/frame_000034.png,-0.406094,0.086762,0.246109,-0.663045,0.747383,-0.037142,0.020281,-175.271862,-1.085186,-96.888772
35,,1,frames/frame_000035.png,-0.407013,0.086266,0.246935,-0.656938,0.752754,-0.036350,0.021723,-175.223063,-0.862597,-97.812718
36,,1,frames/frame_000036.png,-0.407077,0.086321,0.246991,-0.643776,0.763957,-0.037199,0.023219,-175.023977,-0.711621,-99.790202
37,,1,frames/frame_000037.png,-0.407159,0.086314,0.247006,-0.630418,0.774930,-0.038025,0.024706,-174.831284,-0.553057,-101.767173
38,,1,frames/frame_000038.png,-0.406297,0.086753,0.246230,-0.616569,0.785861,-0.040171,0.025540,-174.569610,-0.538312,-103.791621
39,,1,frames/frame_000039.png,-0.407232,0.086210,0.247094,-0.603085,0.796206,-0.039751,0.027654,-174.453373,-0.223965,-105.726730
40,,1,frames/frame_000040.png,-0.406391,0.086806,0.246368,-0.589071,0.806499,-0.041863,0.028338,-174.208275,-0.206887,-107.721298
41,,1,frames/frame_000041.png,-0.406386,0.086829,0.246351,-0.575409,0.816219,-0.042719,0.029439,-174.052593,-0.063306,-109.638013
42,,1,frames/frame_000042.png,-0.406458,0.086752,0.246408,-0.560358,0.826543,-0.043680,0.030292,-173.906235,0.064341,-111.725611
43,,1,frames/frame_000043.png,-0.406489,0.086687,0.246428,-0.530558,0.845779,-0.045843,0.032616,-173.560271,0.373964,-115.778787
44,,1,frames/frame_000044.png,-0.406470,0.086647,0.246438,-0.523054,0.850387,-0.046308,0.033337,-173.474911,0.473044,-116.783598
45,,1,frames/frame_000045.png,-0.407319,0.086108,0.247204,-0.516308,0.854499,-0.045379,0.034607,-173.494553,0.703860,-117.677280
46,,1,frames/frame_000046.png,-0.406506,0.086621,0.246477,-0.500419,0.863755,-0.047336,0.035601,-173.257068,0.809331,-119.780371
47,,1,frames/frame_000047.png,-0.407433,0.086146,0.247345,-0.485388,0.872248,-0.046495,0.037673,-173.240168,1.179499,-121.740289
48,,1,frames/frame_000048.png,-0.406570,0.086682,0.246604,-0.477161,0.876673,-0.048113,0.038029,-173.068808,1.189743,-122.810256
49,,1,frames/frame_000049.png,-0.406611,0.086616,0.246598,-0.461820,0.884732,-0.048862,0.039788,-172.920387,1.448119,-124.782334
50,,1,frames/frame_000050.png,-0.406660,0.086617,0.246625,-0.446106,0.892636,-0.049681,0.041502,-172.774334,1.705753,-126.783921
51,,1,frames/frame_000051.png,-0.407596,0.086093,0.247423,-0.430812,0.900046,-0.049165,0.043609,-172.752346,2.071024,-128.712117
