frame_number,instruction_text,quality_score,image_path,robot_x,robot_y,robot_z,robot_qx,robot_qy,robot_qz,robot_qw,roll_deg,pitch_deg,yaw_deg
0,make slow circular sweeps until moving anatomy appears,2,frames/frame_000000.png,-0.565183,0.141976,0.103268,0.176220,-0.720585,-0.348768,0.572769,98.126075,-44.631007,-113.324102
1,make slow circular sweeps until moving anatomy appears,2,frames/frame_000001.png,-0.563702,0.144559,0.102708,0.173761,-0.721465,-0.349649,0.571875,98.205352,-44.721766,-113.694287
2,make slow circular sweeps until moving anatomy appears,2,frames/frame_000002.png,-0.565165,0.141998,0.103251,0.176000,-0.720649,-0.348637,0.572836,98.132687,-44.660781,-113.336941
3,make slow circular sweeps until moving anatomy appears,2,frames/frame_000003.png,-0.563711,0.144564,0.102710,0.173600,-0.721498,-0.349557,0.571939,98.207205,-44.743876,-113.700945
4,make slow circular sweeps until moving anatomy appears,2,frames/frame_000004.png,-0.565138,0.142025,0.103191,0.175893,-0.720716,-0.348558,0.572832,98.144312,-44.674758,-113.350299
5,make slow circular sweeps until moving anatomy appears,2,frames/frame_000005.png,-0.563696,0.144586,0.102678,0.173493,-0.721539,-0.349480,0.571966,98.213058,-44.759049,-113.708605
6,make slow circular sweeps until moving anatomy appears,2,frames/frame_000006.png,-0.563715,0.144574,0.102735,0.173408,-0.721530,-0.349446,0.572024,98.207696,-44.770696,-113.707121
7,make slow circular sweeps until moving anatomy appears,2,frames/frame_000007.png,-0.565125,0.142071,0.103201,0.175717,-0.720750,-0.348513,0.572872,98.144740,-44.693538,-113.361274
8,make slow circular sweeps until moving anatomy appears,2,frames/frame_000008.png,-0.563705,0.144578,0.102715,0.173361,-0.721555,-0.349416,0.572024,98.211927,-44.776582,-113.712477
9,make slow circular sweeps until moving anatomy appears,2,frames/frame_000009.png,-0.563690,0.144582,0.102677,0.173366,-0.721574,-0.349404,0.572006,98.216628,-44.776337,-113.715731
10,make slow circular sweeps until moving anatomy appears,2,frames/frame_000010.png,-0.563679,0.144623,0.102691,0.173695,-0.721497,-0.349784,0.571772,98.208000,-44.712656,-113.715211
11,make slow circular sweeps until moving anatomy appears,2,frames/frame_000011.png,-0.563672,0.144622,0.102653,0.172917,-0.721736,-0.349074,0.572140,98.238642,-44.841415,-113.744522
